image,success,wheel_detections,keypoints_estimated,avg_confidence,quality_score,review_priority,review_priority_legacy,orientation,out_of_frame_count,warnings,error
stanford_raw_00058_cars_test_00060.jpg,True,2,19,0.9188,0.8588,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.505 margin=0.010,
stanford_raw_00064_cars_test_00066.jpg,True,2,19,0.8742,0.8342,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.540 margin=0.079,
stanford_raw_00089_cars_test_00095.jpg,True,2,19,0.9352,0.9152,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.540 margin=0.081,
stanford_raw_00091_cars_test_00097.jpg,True,2,19,0.8965,0.8365,REVIEW_LOW,LOW,left-looking,2,orientation_clip: left-looking confidence=0.560 margin=0.120,
stanford_raw_00103_cars_test_00109.jpg,True,2,19,0.9235,0.8835,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.635 margin=0.271,
stanford_raw_00128_cars_test_00135.jpg,True,2,19,0.9192,0.8992,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.547 margin=0.093,
stanford_raw_00132_cars_test_00140.jpg,True,2,19,0.8227,0.7827,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.548 margin=0.095,
stanford_raw_00146_cars_test_00154.jpg,True,2,19,0.8826,0.8626,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.537 margin=0.074,
stanford_raw_00151_cars_test_00159.jpg,True,2,19,0.9099,0.8499,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.513 margin=0.027,
stanford_raw_00156_cars_test_00164.jpg,True,2,19,0.9036,0.8636,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.525 margin=0.051,
stanford_raw_00159_cars_test_00167.jpg,True,2,19,0.8786,0.8186,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.529 margin=0.057,
stanford_raw_00166_cars_test_00174.jpg,True,2,19,0.8099,0.7699,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.519 margin=0.038,
stanford_raw_00176_cars_test_00184.jpg,True,2,19,0.8465,0.8065,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.534 margin=0.068,
stanford_raw_00192_cars_test_00200.jpg,True,2,19,0.8494,0.8094,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.514 margin=0.027,
stanford_raw_00195_cars_test_00203.jpg,True,2,19,0.8551,0.8151,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.514 margin=0.028,
stanford_raw_00207_cars_test_00215.jpg,True,2,19,0.8319,0.8119,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.516 margin=0.032,
stanford_raw_00210_cars_test_00218.jpg,True,2,19,0.8319,0.7919,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.512 margin=0.025,
stanford_raw_00212_cars_test_00220.jpg,True,2,19,0.8601,0.8201,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.548 margin=0.095,
stanford_raw_00240_cars_test_00248.jpg,True,2,19,0.8782,0.8382,REVIEW_LOW,LOW,left-looking,1,orientation_clip: left-looking confidence=0.551 margin=0.102,
stanford_raw_00247_cars_test_00255.jpg,True,2,19,0.7798,0.7398,REVIEW_MEDIUM,MEDIUM,right-looking,1,orientation_clip: right-looking confidence=0.530 margin=0.060,
stanford_raw_00256_cars_test_00264.jpg,True,2,19,0.8953,0.8553,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.501 margin=0.002,
stanford_raw_00258_cars_test_00266.jpg,True,2,19,0.9255,0.8855,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.511 margin=0.023,
stanford_raw_00263_cars_test_00271.jpg,True,2,19,0.8538,0.7938,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.560 margin=0.120,
stanford_raw_00268_cars_test_00276.jpg,True,2,19,0.8056,0.7656,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.547 margin=0.095,
stanford_raw_00280_cars_test_00288.jpg,True,2,19,0.9217,0.8817,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.597 margin=0.194,
stanford_raw_00284_cars_test_00292.jpg,True,2,19,0.8831,0.8631,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.511 margin=0.022,
stanford_raw_00295_cars_test_00303.jpg,True,2,19,0.8768,0.8568,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.515 margin=0.030,
stanford_raw_00307_cars_test_00315.jpg,True,2,19,0.8646,0.8446,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.554 margin=0.108,
stanford_raw_00313_cars_test_00321.jpg,True,2,19,0.8215,0.7615,REVIEW_LOW,LOW,left-looking,2,orientation_clip: left-looking confidence=0.590 margin=0.179,
stanford_raw_00314_cars_test_00322.jpg,True,2,19,0.8564,0.8364,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.506 margin=0.012,
stanford_raw_00341_cars_test_00350.jpg,True,2,19,0.7947,0.7747,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.522 margin=0.045,
stanford_raw_00353_cars_test_00362.jpg,True,2,19,0.8508,0.5008,REVIEW_HIGH,HIGH,left-looking,4,orientation_clip: left-looking confidence=0.557 margin=0.115 | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
stanford_raw_00372_cars_test_00382.jpg,True,2,19,0.8432,0.8232,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.533 margin=0.066,
stanford_raw_00379_cars_test_00389.jpg,True,2,19,0.9251,0.9051,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.519 margin=0.037,
stanford_raw_00380_cars_test_00390.jpg,True,2,19,0.7809,0.7609,REVIEW_LOW,LOW,left-looking,0,orientation_clip: left-looking confidence=0.561 margin=0.122,
stanford_raw_00396_cars_test_00406.jpg,True,2,19,0.8359,0.8159,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.531 margin=0.062,
stanford_raw_00414_cars_test_00424.jpg,True,2,19,0.8611,0.8411,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.502 margin=0.004,
stanford_raw_00428_cars_test_00438.jpg,True,2,19,0.9253,0.9053,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.532 margin=0.063,
stanford_raw_00440_cars_test_00450.jpg,True,2,19,0.9277,0.8877,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.577 margin=0.154,
stanford_raw_00449_cars_test_00459.jpg,True,2,19,0.8061,0.7861,REVIEW_LOW,LOW,left-looking,0,orientation_clip: left-looking confidence=0.572 margin=0.143,
stanford_raw_00474_cars_test_00485.jpg,True,2,19,0.9075,0.8475,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.510 margin=0.020,
stanford_raw_00478_cars_test_00489.jpg,True,2,19,0.8144,0.7944,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.543 margin=0.085,
stanford_raw_00493_cars_test_00505.jpg,True,2,19,0.9194,0.8794,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.511 margin=0.022,
stanford_raw_00500_cars_test_00512.jpg,True,2,19,0.8623,0.8223,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.528 margin=0.057,
stanford_raw_00501_cars_test_00513.jpg,True,2,19,0.8334,0.7934,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.524 margin=0.048,
stanford_raw_00513_cars_test_00525.jpg,True,2,19,0.8018,0.7818,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.667 margin=0.333,
stanford_raw_00518_cars_test_00530.jpg,True,2,19,0.8783,0.8383,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.515 margin=0.030,
stanford_raw_00527_cars_test_00540.jpg,True,2,19,0.8634,0.8234,REVIEW_LOW,LOW,left-looking,1,orientation_clip: left-looking confidence=0.577 margin=0.153,
stanford_raw_00554_cars_test_00567.jpg,True,2,19,0.9002,0.8602,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.522 margin=0.043,
stanford_raw_00562_cars_test_00575.jpg,True,2,19,0.8258,0.8058,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.589 margin=0.179,
stanford_raw_00567_cars_test_00580.jpg,True,2,19,0.8699,0.8299,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.524 margin=0.048,
stanford_raw_00570_cars_test_00583.jpg,True,2,19,0.8546,0.8146,REVIEW_LOW,LOW,left-looking,1,orientation_clip: left-looking confidence=0.590 margin=0.179,
stanford_raw_00573_cars_test_00586.jpg,True,2,19,0.8284,0.8084,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.503 margin=0.006,
stanford_raw_00609_cars_test_00623.jpg,True,2,19,0.8651,0.8251,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.532 margin=0.064,
stanford_raw_00617_cars_test_00631.jpg,True,2,19,0.8922,0.8322,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.509 margin=0.019,
stanford_raw_00626_cars_test_00640.jpg,True,2,19,0.8728,0.8128,REVIEW_LOW,LOW,right-looking,2,orientation_clip: right-looking confidence=0.511 margin=0.022,
stanford_raw_00639_cars_test_00653.jpg,True,2,19,0.8433,0.8033,REVIEW_LOW,LOW,left-looking,1,orientation_clip: left-looking confidence=0.575 margin=0.151,
stanford_raw_00673_cars_test_00687.jpg,True,2,19,0.8543,0.8143,REVIEW_LOW,LOW,left-looking,1,orientation_clip: left-looking confidence=0.556 margin=0.112,
stanford_raw_00690_cars_test_00704.jpg,True,2,19,0.8681,0.8481,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.526 margin=0.052,
stanford_raw_00691_cars_test_00705.jpg,True,2,19,0.8971,0.8771,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.523 margin=0.046,
stanford_raw_00710_cars_test_00724.jpg,True,2,19,0.9182,0.8982,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.509 margin=0.017,
stanford_raw_00715_cars_test_00729.jpg,True,2,19,0.8626,0.8226,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.547 margin=0.094,
stanford_raw_00719_cars_test_00733.jpg,True,2,19,0.8159,0.7959,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.511 margin=0.023,
stanford_raw_00720_cars_test_00734.jpg,True,2,19,0.8022,0.7622,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.530 margin=0.060,
stanford_raw_00726_cars_test_00740.jpg,True,2,19,0.8130,0.7930,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.508 margin=0.016,
stanford_raw_00735_cars_test_00749.jpg,True,2,19,0.8130,0.7930,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.526 margin=0.052,
stanford_raw_00741_cars_test_00755.jpg,True,2,19,0.8358,0.7958,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.502 margin=0.005,
stanford_raw_00748_cars_test_00762.jpg,True,2,19,0.9240,0.8840,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.500 margin=0.001,
stanford_raw_00771_cars_test_00786.jpg,True,2,19,0.8931,0.5631,REVIEW_HIGH,HIGH,right-looking,3,orientation_clip: right-looking confidence=0.537 margin=0.073 | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,
stanford_raw_00793_cars_test_00809.jpg,True,2,19,0.8941,0.8541,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.548 margin=0.096,
stanford_raw_00794_cars_test_00810.jpg,True,2,19,0.8122,0.7922,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.503 margin=0.006,
stanford_raw_00808_cars_test_00824.jpg,True,2,19,0.9277,0.8877,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.521 margin=0.043,
stanford_raw_00820_cars_test_00837.jpg,True,2,19,0.8839,0.8639,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.514 margin=0.027,
stanford_raw_00857_cars_test_00874.jpg,True,2,19,0.9116,0.8716,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.520 margin=0.039,
stanford_raw_00895_cars_test_00913.jpg,True,2,19,0.8431,0.8231,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.504 margin=0.009,
stanford_raw_00915_cars_test_00935.jpg,True,2,19,0.8853,0.8653,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.522 margin=0.044,
stanford_raw_00929_cars_test_00949.jpg,True,2,19,0.8795,0.8595,REVIEW_LOW,LOW,right-looking,0,orientation_clip: right-looking confidence=0.522 margin=0.045,
stanford_raw_00969_cars_test_00989.jpg,True,2,19,0.8291,0.7891,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.503 margin=0.006,
stanford_raw_00985_cars_test_01006.jpg,True,2,19,0.8991,0.8591,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.526 margin=0.052,
stanford_raw_00987_cars_test_01008.jpg,True,2,19,0.7921,0.7521,REVIEW_LOW,LOW,right-looking,1,orientation_clip: right-looking confidence=0.533 margin=0.066,
