queue_priority,image,agent_priority,validation_status,orientation,out_of_frame_count,quality_score,warning_count,review_reason,warnings,json_path
HIGH,stanford_raw_00353_cars_test_00362.jpg,HIGH,VALID,left-looking,4,0.5008,0,agent_high,orientation_clip: left-looking confidence=0.557 margin=0.115 | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00353_cars_test_00362.json
HIGH,stanford_raw_00771_cars_test_00786.jpg,HIGH,VALID,right-looking,3,0.5631,0,agent_high,orientation_clip: right-looking confidence=0.537 margin=0.073 | non_90_pov: excessive out-of-frame keypoints suggest non-lateral view/crop,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00771_cars_test_00786.json
MEDIUM,stanford_raw_00247_cars_test_00255.jpg,MEDIUM,VALID,right-looking,1,0.7398,0,agent_medium,orientation_clip: right-looking confidence=0.530 margin=0.060,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00247_cars_test_00255.json
INVALID,stanford_raw_00176_cars_test_00184.jpg,LOW,INVALID,right-looking,1,0.8065,1,validation_invalid,wheelbase_ratio_invalid: 2.78 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.534 margin=0.068,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00176_cars_test_00184.json
INVALID,stanford_raw_00192_cars_test_00200.jpg,LOW,INVALID,right-looking,1,0.8094,1,validation_invalid,wheelbase_ratio_invalid: 2.73 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.514 margin=0.027,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00192_cars_test_00200.json
INVALID,stanford_raw_00210_cars_test_00218.jpg,LOW,INVALID,right-looking,1,0.7919,2,validation_invalid,wheelbase_ratio_invalid: 7.40 outside 2.80-6.50 | overhang_ratio_invalid: front 3.02 outside 0.25-2.75 | orientation_clip: right-looking confidence=0.512 margin=0.025,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00210_cars_test_00218.json
INVALID,stanford_raw_00295_cars_test_00303.jpg,LOW,INVALID,right-looking,0,0.8568,1,validation_invalid,wheelbase_ratio_invalid: 6.58 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.515 margin=0.030,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00295_cars_test_00303.json
INVALID,stanford_raw_00380_cars_test_00390.jpg,LOW,INVALID,left-looking,0,0.7609,1,validation_invalid,wheelbase_ratio_invalid: 2.68 outside 2.80-6.50 | orientation_clip: left-looking confidence=0.561 margin=0.122,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00380_cars_test_00390.json
INVALID,stanford_raw_00396_cars_test_00406.jpg,LOW,INVALID,right-looking,0,0.8159,1,validation_invalid,wheelbase_ratio_invalid: 2.48 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.531 margin=0.062,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00396_cars_test_00406.json
INVALID,stanford_raw_00428_cars_test_00438.jpg,LOW,INVALID,right-looking,0,0.9053,1,validation_invalid,wheelbase_ratio_invalid: 2.47 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.532 margin=0.063,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00428_cars_test_00438.json
INVALID,stanford_raw_00449_cars_test_00459.jpg,LOW,INVALID,left-looking,0,0.7861,1,validation_invalid,wheelbase_ratio_invalid: 2.44 outside 2.80-6.50 | orientation_clip: left-looking confidence=0.572 margin=0.143,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00449_cars_test_00459.json
INVALID,stanford_raw_00513_cars_test_00525.jpg,LOW,INVALID,right-looking,0,0.7818,1,validation_invalid,wheelbase_ratio_invalid: 2.36 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.667 margin=0.333,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00513_cars_test_00525.json
INVALID,stanford_raw_00570_cars_test_00583.jpg,LOW,INVALID,left-looking,1,0.8146,1,validation_invalid,wheelbase_ratio_invalid: 2.54 outside 2.80-6.50 | orientation_clip: left-looking confidence=0.590 margin=0.179,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00570_cars_test_00583.json
INVALID,stanford_raw_00609_cars_test_00623.jpg,LOW,INVALID,right-looking,1,0.8251,1,validation_invalid,wheelbase_ratio_invalid: 2.74 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.532 margin=0.064,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00609_cars_test_00623.json
INVALID,stanford_raw_00673_cars_test_00687.jpg,LOW,INVALID,left-looking,1,0.8143,1,validation_invalid,wheelbase_ratio_invalid: 2.24 outside 2.80-6.50 | orientation_clip: left-looking confidence=0.556 margin=0.112,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00673_cars_test_00687.json
INVALID,stanford_raw_00915_cars_test_00935.jpg,LOW,INVALID,right-looking,0,0.8653,1,validation_invalid,wheelbase_ratio_invalid: 2.67 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.522 margin=0.044,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00915_cars_test_00935.json
INVALID,stanford_raw_00969_cars_test_00989.jpg,LOW,INVALID,right-looking,1,0.7891,1,validation_invalid,wheelbase_ratio_invalid: 2.48 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.503 margin=0.006,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00969_cars_test_00989.json
INVALID,stanford_raw_00987_cars_test_01008.jpg,LOW,INVALID,right-looking,1,0.7521,1,validation_invalid,wheelbase_ratio_invalid: 2.52 outside 2.80-6.50 | orientation_clip: right-looking confidence=0.533 margin=0.066,yolo_training\side_view_dataset\labelme_json_b13_staging\stanford_raw_00987_cars_test_01008.json
